 Simulation_Period = 20010101 -- 20501231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
    200110        0.255674E+02        0.255674E+02        0.245820E+02        0.169498E+01        0.671060E+00        0.221551E+02        0.608352E-01        0.208079E-02        0.972506E+00        0.552900E+00        0.419606E+00        0.108603E-01        0.517271E-02        0.206747E-02        0.362009E-02       -0.513442E-16        0.223882E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200111        0.255863E+02        0.255863E+02        0.245934E+02        0.169890E+01        0.666875E+00        0.221672E+02        0.604046E-01        0.207325E-02        0.979764E+00        0.559470E+00        0.420294E+00        0.110015E-01        0.525119E-02        0.208314E-02        0.366717E-02        0.322413E-17        0.249081E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200112        0.255992E+02        0.255992E+02        0.246118E+02        0.170902E+01        0.662813E+00        0.221789E+02        0.610587E-01        0.214776E-02        0.974225E+00        0.552596E+00        0.421629E+00        0.110662E-01        0.529543E-02        0.208206E-02        0.368875E-02       -0.354155E-17        0.274840E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200201        0.256162E+02        0.256162E+02        0.246236E+02        0.171235E+01        0.660203E+00        0.221901E+02        0.609384E-01        0.208496E-02        0.979395E+00        0.557059E+00        0.422337E+00        0.110727E-01        0.531226E-02        0.206953E-02        0.369090E-02       -0.844815E-17        0.300663E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200202        0.256326E+02        0.256326E+02        0.246329E+02        0.171374E+01        0.658357E+00        0.222004E+02        0.603881E-01        0.207087E-02        0.986489E+00        0.563477E+00        0.423012E+00        0.111442E-01        0.535606E-02        0.207340E-02        0.371473E-02        0.566573E-16        0.325218E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200203        0.256477E+02        0.256477E+02        0.246413E+02        0.171473E+01        0.656346E+00        0.222103E+02        0.598589E-01        0.206164E-02        0.993087E+00        0.569276E+00        0.423811E+00        0.112411E-01        0.541009E-02        0.208400E-02        0.374704E-02        0.277225E-16        0.349909E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200204        0.256617E+02        0.256617E+02        0.246487E+02        0.171524E+01        0.653873E+00        0.222202E+02        0.593824E-01        0.205434E-02        0.999559E+00        0.574819E+00        0.424739E+00        0.113487E-01        0.546868E-02        0.209711E-02        0.378289E-02        0.600817E-16        0.375588E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200205        0.256742E+02        0.256742E+02        0.246549E+02        0.171518E+01        0.651015E+00        0.222298E+02        0.589704E-01        0.204809E-02        0.100574E+01        0.579980E+00        0.425760E+00        0.114557E-01        0.552691E-02        0.211021E-02        0.381856E-02        0.738321E-16        0.401424E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200206        0.256852E+02        0.256852E+02        0.246599E+02        0.171460E+01        0.647886E+00        0.222388E+02        0.586048E-01        0.204236E-02        0.101166E+01        0.584799E+00        0.426861E+00        0.115587E-01        0.558339E-02        0.212242E-02        0.385290E-02       -0.844024E-16        0.427407E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200207        0.256948E+02        0.256948E+02        0.246638E+02        0.171350E+01        0.644609E+00        0.222474E+02        0.582725E-01        0.203693E-02        0.101733E+01        0.589294E+00        0.428037E+00        0.116564E-01        0.563743E-02        0.213349E-02        0.388546E-02        0.701997E-16        0.453528E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200208        0.257033E+02        0.257033E+02        0.246667E+02        0.171192E+01        0.641234E+00        0.222556E+02        0.579601E-01        0.203167E-02        0.102285E+01        0.593547E+00        0.429299E+00        0.117497E-01        0.568949E-02        0.214362E-02        0.391656E-02       -0.402151E-16        0.480204E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200209        0.257106E+02        0.257106E+02        0.246687E+02        0.170996E+01        0.637948E+00        0.222631E+02        0.576736E-01        0.202674E-02        0.102803E+01        0.597433E+00        0.430600E+00        0.118355E-01        0.573769E-02        0.215263E-02        0.394516E-02        0.412656E-16        0.506565E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200210        0.257168E+02        0.257168E+02        0.246698E+02        0.170764E+01        0.634751E+00        0.222700E+02        0.574057E-01        0.202206E-02        0.103299E+01        0.601036E+00        0.431954E+00        0.119154E-01        0.578276E-02        0.216085E-02        0.397181E-02        0.336756E-16        0.533029E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200211        0.257220E+02        0.257220E+02        0.246703E+02        0.170501E+01        0.631673E+00        0.222765E+02        0.571551E-01        0.201765E-02        0.103773E+01        0.604372E+00        0.433354E+00        0.119897E-01        0.582472E-02        0.216843E-02        0.399657E-02        0.121461E-16        0.559587E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200212        0.257221E+02        0.257221E+02        0.246792E+02        0.170980E+01        0.629024E+00        0.222824E+02        0.579884E-01        0.209526E-02        0.102884E+01        0.593463E+00        0.435374E+00        0.119845E-01        0.582919E-02        0.216050E-02        0.399484E-02       -0.166006E-16        0.586630E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200301        0.257275E+02        0.257275E+02        0.246820E+02        0.170792E+01        0.627980E+00        0.222881E+02        0.580595E-01        0.203520E-02        0.103154E+01        0.594887E+00        0.436649E+00        0.119190E-01        0.580410E-02        0.214189E-02        0.397300E-02       -0.407290E-16        0.613612E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200302        0.257339E+02        0.257339E+02        0.246834E+02        0.170487E+01        0.627650E+00        0.222932E+02        0.576973E-01        0.202433E-02        0.103656E+01        0.598765E+00        0.437792E+00        0.119304E-01        0.581202E-02        0.214159E-02        0.397681E-02       -0.330377E-16        0.639169E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200303        0.257398E+02        0.257398E+02        0.246846E+02        0.170202E+01        0.627128E+00        0.222981E+02        0.573490E-01        0.201808E-02        0.104116E+01        0.602161E+00        0.438999E+00        0.119728E-01        0.583296E-02        0.214893E-02        0.399094E-02       -0.433913E-16        0.664777E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200304        0.257451E+02        0.257451E+02        0.246854E+02        0.169909E+01        0.626144E+00        0.223031E+02        0.570484E-01        0.201365E-02        0.104566E+01        0.605367E+00        0.440296E+00        0.120282E-01        0.585972E-02        0.215910E-02        0.400941E-02        0.614552E-16        0.691330E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200305        0.257496E+02        0.257496E+02        0.246855E+02        0.169612E+01        0.624712E+00        0.223079E+02        0.568005E-01        0.201007E-02        0.104997E+01        0.608336E+00        0.441632E+00        0.120867E-01        0.588832E-02        0.216951E-02        0.402892E-02        0.737226E-16        0.717968E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
    200306        0.257532E+02        0.257532E+02        0.246850E+02        0.169307E+01        0.622947E+00        0.223124E+02        0.565874E-01        0.200681E-02        0.105410E+01        0.611104E+00        0.443000E+00        0.121445E-01        0.591721E-02        0.217915E-02        0.404818E-02       -0.820218E-16        0.744686E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.126481-320        0.323786-318        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.323786-318        0.708811-316        0.323786-318        0.113412-313        0.323786-318        0.139804E-75        0.000000E+00        0.302894-152        0.135169E+46        0.500000E+00        0.000000E+00        0.456344-128        0.297838+229        0.169349+167        0.144516E-11       -0.124939E+00        0.000000E+00        0.222507-307        0.000000E+00        0.290086E-08        0.000000E+00        0.000000E+00        0.000000E+00
